act,map,agent,uuid,matches,win_rate,kd
E7A1,Ascent,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,121277,49.94,0.0
E7A1,Ascent,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,25092,50.79,0.0
E7A1,Bind,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,91032,51.27,0.0
E7A1,Bind,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,16126,49.01,0.0
E7A1,Bind,Omen,8e253930-4c05-31dd-1b6c-968525494517,39442,48.05,0.0
E7A1,Bind,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,3762,47.0,0.0
E7A1,Bind,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,44576,51.76,0.0
E7A1,Bind,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,16799,51.37,0.0
E7A1,Bind,Viper,707eab51-4836-f488-046a-cda6bf494859,13692,49.26,0.0
E7A1,Bind,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,11140,48.46,0.0
E7A1,Bind,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,10242,46.92,0.0
E7A1,Bind,Deadlock,cc8b64c8-4b25-4ff9-6e7f-37b4da43d235,24750,49.92,0.0
E7A1,Bind,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,2619,45.78,0.0
E7A1,Bind,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,40220,49.51,0.0
E7A1,Bind,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,64746,50.42,0.0
E7A1,Bind,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,10869,50.12,0.0
E7A1,Bind,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,88751,50.16,0.0
E7A1,Bind,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,25112,50.42,0.0
E7A1,Bind,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,28595,49.63,0.0
E7A1,Bind,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,8435,44.41,0.0
E7A1,Bind,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,10884,48.14,0.0
E7A1,Bind,Raze,f94c3b30-42be-e959-889c-5aa313dba261,94331,50.73,0.0
E7A1,Bind,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,82316,49.6,0.0
E7A1,Bind,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,45861,49.28,0.0
E7A1,Fracture,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,101290,51.55,0.0
E7A1,Fracture,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,18163,49.57,0.0
E7A1,Fracture,Omen,8e253930-4c05-31dd-1b6c-968525494517,19883,45.6,0.0
E7A1,Fracture,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,14377,49.44,0.0
E7A1,Fracture,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,33956,50.7,0.0
E7A1,Fracture,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,14080,50.17,0.0
E7A1,Fracture,Viper,707eab51-4836-f488-046a-cda6bf494859,18758,48.56,0.0
E7A1,Fracture,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,7122,46.18,0.0
E7A1,Fracture,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,89223,49.54,0.0
E7A1,Fracture,Deadlock,cc8b64c8-4b25-4ff9-6e7f-37b4da43d235,21544,48.99,0.0
E7A1,Fracture,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,2780,43.85,0.0
E7A1,Fracture,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,36984,49.26,0.0
E7A1,Fracture,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,67529,50.82,0.0
E7A1,Fracture,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,11181,49.1,0.0
E7A1,Fracture,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,28536,49.87,0.0
E7A1,Fracture,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,6893,48.88,0.0
E7A1,Fracture,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,54559,51.3,0.0
E7A1,Fracture,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,12700,45.91,0.0
E7A1,Fracture,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,8575,47.21,0.0
E7A1,Fracture,Raze,f94c3b30-42be-e959-889c-5aa313dba261,57076,50.53,0.0
E7A1,Fracture,Jett,add6443a-41bd-e414-f6ad-e58d267f4e95,102787,50.26,0.0
E7A1,Fracture,Cypher,117ed9e3-49f3-6512-3ccf-0cada7e3823b,34438,49.89,0.0
E7A1,Haven,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,32279,51.91,0.0
E7A1,Haven,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,11974,48.45,0.0
E7A1,Haven,Omen,8e253930-4c05-31dd-1b6c-968525494517,100491,49.39,0.0
E7A1,Haven,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,5119,47.39,0.0
E7A1,Haven,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,43330,51.1,0.0
E7A1,Haven,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,26882,51.26,0.0
E7A1,Haven,Viper,707eab51-4836-f488-046a-cda6bf494859,2652,47.93,0.0
E7A1,Haven,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,7510,47.78,0.0
E7A1,Haven,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,21890,49.14,0.0
E7A1,Haven,Deadlock,cc8b64c8-4b25-4ff9-6e7f-37b4da43d235,19341,48.63,0.0
E7A1,Haven,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,1190,45.88,0.0
E7A1,Haven,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,33244,49.12,0.0
E7A1,Haven,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,76934,50.47,0.0
E7A1,Haven,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,8524,48.66,0.0
