act_name,act_idx,agent,win_rate_pct,pick_rate_pct,matches,total_matches_dp,kd,kills,deaths,avg_score,source,overlap_vstats
E3A1,3,Killjoy,51.56,5.541,632910.0,11423031,0.999,14.4,14.4,201.0,maxmunzy,False
E3A1,3,Omen,48.68,8.892,1015716.0,11423031,0.961,14.7,15.2,199.0,maxmunzy,False
E3A1,3,Phoenix,48.45,2.494,284886.0,11423031,1.018,16.0,15.7,226.0,maxmunzy,False
E3A1,3,Raze,50.88,6.519,744702.0,11423031,1.025,16.3,15.9,237.0,maxmunzy,False
E3A1,3,Reyna,50.75,13.797,1576053.0,11423031,1.102,17.2,15.7,239.0,maxmunzy,False
E3A1,3,Sage,51.71,13.248,1513374.0,11423031,0.958,14.0,14.7,192.0,maxmunzy,False
E3A1,3,Skye,48.82,5.304,605880.0,11423031,0.956,14.6,15.3,200.0,maxmunzy,False
E3A1,3,Sova,50.96,8.233,940491.0,11423031,0.983,14.3,14.6,202.0,maxmunzy,False
E3A1,3,Viper,50.2,5.225,596904.0,11423031,0.988,14.4,14.5,198.0,maxmunzy,False
E3A1,3,Yoru,45.75,0.827,94452.0,11423031,0.949,15.0,15.8,210.0,maxmunzy,False
E3A2,4,Astra,49.55,3.114,600678.0,19288047,0.994,14.6,14.7,197.0,maxmunzy,False
E3A2,4,Breach,47.9,1.317,254031.0,19288047,0.906,14.0,15.5,193.0,maxmunzy,False
E3A2,4,Brimstone,51.07,2.966,572169.0,19288047,0.961,14.5,15.0,200.0,maxmunzy,False
E3A2,4,Cypher,48.29,4.268,823242.0,19288047,0.971,14.4,14.8,195.0,maxmunzy,False
E3A2,4,Jett,49.93,16.799,3240183.0,19288047,1.096,17.4,15.9,240.0,maxmunzy,False
E3A2,4,KAY/O,45.03,1.191,229653.0,19288047,0.908,14.2,15.6,198.0,maxmunzy,False
E3A2,4,Killjoy,50.37,5.935,1144746.0,19288047,0.991,14.3,14.5,200.0,maxmunzy,False
E3A2,4,Omen,48.96,7.061,1361853.0,19288047,0.965,14.8,15.3,199.0,maxmunzy,False
E3A2,4,Phoenix,48.9,1.573,303450.0,19288047,1.02,16.1,15.8,226.0,maxmunzy,False
E3A2,4,Raze,50.02,6.023,1161729.0,19288047,1.011,16.2,16.1,236.0,maxmunzy,False
E3A2,4,Reyna,50.56,14.907,2875329.0,19288047,1.1,17.4,15.8,240.0,maxmunzy,False
E3A2,4,Sage,51.38,12.731,2455650.0,19288047,0.948,14.1,14.8,192.0,maxmunzy,False
E3A2,4,Skye,48.4,6.177,1191462.0,19288047,0.936,14.5,15.5,197.0,maxmunzy,False
E3A2,4,Sova,51.07,8.974,1730991.0,19288047,0.973,14.3,14.7,201.0,maxmunzy,False
E3A2,4,Viper,51.36,6.262,1207833.0,19288047,0.99,14.5,14.6,198.0,maxmunzy,False
E3A2,4,Yoru,41.99,0.7,135048.0,19288047,0.926,14.8,15.9,206.0,maxmunzy,False
E3A3,5,Astra,49.65,3.929,1202529.0,30603264,0.993,14.6,14.8,195.0,maxmunzy,False
E3A3,5,Breach,48.1,1.958,599097.0,30603264,0.908,14.1,15.5,193.0,maxmunzy,False
