agent,patch,patch_act,direction,n_changes,n_skills_changed,trigger_type,has_mechanic,value_chg_max_abs,max_skill_weight,patch_importance_score,has_identity_change,identity_nerfed,identity_buffed,has_ult_change,mobility_skill_nerfed,rank_pr_t-1,rank_wr_t-1,rank_pr_pre_avg,rank_wr_pre_avg,rank_pr_pre_slope,rank_wr_vs50_pre,rank_pre_n_acts,vct_pr_t-1,vct_pr_pre_avg,vct_pr_pre_slope,vct_absence_pre,vct_pre_n_events,rank_vct_pr_gap_pre,vct_rank_pr_ratio,agent_role,agent_subrole,role_rank_pre,role_pr_share_pre,role_rival_pr_mean_pre,role_meta_trend,subrole_rank_pre,subrole_rival_pr_mean_pre,subrole_meta_trend,n_prev_patches,prev_nerf_count,prev_buff_count,acts_since_last_patch,last_patch_direction,multi_patch_4acts,rank_verdict,vct_verdict,vct_profile,combined_verdict,verdict_label,verdict_source
Brimstone,4.03,E4A1,nerf,6,1,rank_stat,1,,2.0,2.0,0.0,0.0,0.0,1,0,2.971,50.94,3.209,51.207,-0.3595,1.207,3.0,,,,0,,,,controller,smoker,4.0,0.155,5.394,-0.141,3.0,4.56,-1.0595,0,0,0,99,none,0,MISS,NO_DATA,pro_unknown,UNKNOWN,UNKNOWN,rank
Brimstone,4.04,E4A2,nerf,3,0,rank_stat,0,0.5,2.0,2.0,0.0,0.0,0.0,0,0,2.473,48.56,2.803,50.19,-0.2465,0.19,3.0,,,,0,,,,controller,smoker,4.0,0.132,5.425,-0.3275,3.0,4.394,-0.9395,1,1,0,1,nerf,1,MISS,NO_DATA,pro_unknown,UNKNOWN,UNKNOWN,rank
Brimstone,4.05,E4A2,nerf,2,0,rank_stat,0,1.0,2.0,2.0,0.0,0.0,0.0,0,0,2.473,48.56,2.803,50.19,-0.2465,0.19,3.0,,,,0,,,,controller,smoker,4.0,0.132,5.425,-0.3275,3.0,4.394,-0.9395,1,1,0,1,nerf,1,MISS,NO_DATA,pro_unknown,UNKNOWN,UNKNOWN,rank
Brimstone,7.04,E8A1,buff,2,1,rank_stat,0,0.14285714285714285,2.0,2.0,0.0,0.0,0.0,1,0,4.095,51.4,4.053,50.787,-0.9585,0.787,3.0,20.3,17.65,-5.3,0,2.0,-10.905,3.663,controller,smoker,2.0,0.205,3.974,-0.282,2.0,6.146,-1.0035,3,3,0,10,nerf,0,MISS,HIT,pro_staple,RANK_FAIL,RANK_FAIL,vct
Brimstone,8.09,E9A2,buff,3,0,rank_stat,0,0.012195121951219513,2.0,2.0,0.0,0.0,0.0,0,0,1.359,48.93,1.428,48.657,-0.0635,-1.343,3.0,20.3,17.65,-5.3,0,2.0,-13.641,11.038,controller,smoker,4.0,0.066,3.819,-0.1505,3.0,5.709,0.7595,4,3,1,4,buff,1,OVERSHOOT,HIT,pro_staple,MIXED,MIXED,vct
Chamber,4.09,E4A3,nerf,4,1,rank_stat,0,0.5,2.0,2.0,0.0,0.0,0.0,0,0,13.428,50.28,9.108,50.57,3.7325,0.57,3.0,44.2,44.2,0.0,0,1.0,-30.772,3.292,sentinel,anchor,1.0,0.522,4.092,0.3135,1.0,8.214,2.298,0,0,0,99,none,0,MISS,MISS,pro_staple,DUAL_MISS,DUAL_MISS,rank
Chamber,5.03,E5A1,nerf,9,3,rank_stat,0,0.5,3.0,2.333,1.0,1.0,0.0,1,1,15.334,50.06,12.232,50.597,3.7005,0.597,3.0,44.2,44.2,0.0,0,1.0,-28.866,2.882,sentinel,anchor,1.0,0.579,3.724,1.6245,1.0,7.891,3.207,1,1,0,1,nerf,1,MISS,MISS,pro_staple,DUAL_MISS,DUAL_MISS,rank
Chamber,5.12,E6A1,nerf,18,3,pro_dominance,0,19.0,2.0,1.5,0.0,0.0,0.0,1,0,15.553,50.0,15.535,50.12,0.1095,0.12,3.0,66.9,55.55,-22.7,0,2.0,-28.647,2.842,sentinel,anchor,1.0,0.591,3.584,-0.1005,1.0,7.728,0.028,2,2,0,2,nerf,1,OVERSHOOT,OVERSHOOT,pro_staple,DUAL_OVERSHOOT,DUAL_OVERSHOOT,vct
Chamber,6.11,E7A3,nerf,7,3,rank_stat,0,0.25,3.0,2.5,1.0,1.0,0.0,1,1,4.654,49.58,4.148,48.87,0.54,-1.13,3.0,66.9,55.55,-22.7,0,2.0,-39.546,9.497,sentinel,anchor,2.0,0.207,4.457,-0.308,1.0,2.253,-0.612,3,3,0,5,nerf,0,MISS,OVERSHOOT,pro_staple,MIXED,MIXED,vct
Chamber,8.03,E9A1,nerf,4,2,rank_stat,0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,1,0,3.836,49.13,4.37,49.283,-0.485,-0.717,3.0,66.9,55.55,-22.7,0,2.0,-40.364,11.522,sentinel,anchor,3.0,0.177,4.453,-0.698,1.0,2.098,-1.0475,4,4,0,4,nerf,1,MISS,HIT,pro_staple,RANK_FAIL,RANK_FAIL,vct
Chamber,8.08,E9A2,buff,1,0,rank_stat,0,,2.0,2.0,0.0,0.0,0.0,0,0,4.25,49.34,4.185,49.293,-0.109,-0.707,3.0,66.9,55.55,-22.7,0,2.0,-39.95,10.4,sentinel,anchor,3.0,0.209,4.028,-0.978,1.0,1.698,-0.6995,5,5,0,1,nerf,1,HIT,MISS,pro_staple,PRO_FAIL,PRO_FAIL,rank
Clove,10.04,E11A1,nerf,5,2,rank_stat,0,,3.0,2.2,1.0,1.0,1.0,0,0,10.644,52.43,10.963,52.317,-1.1485,2.317,3.0,2.4,4.9,5.0,17,2.0,3.244,0.695,controller,smoker,1.0,0.519,1.974,0.044,1.0,2.555,-0.768,1,1,0,4,nerf,1,MISS,OVERSHOOT,pro_marginal,MIXED,MIXED,vct
Clove,12.05,V26A2,nerf,1,1,rank_stat,0,,1.0,1.0,0.0,0.0,0.0,0,0,12.676,51.75,12.912,51.903,0.0595,1.903,3.0,4.1,2.3,-3.6,25,2.0,12.176,0.039,controller,smoker,1.0,0.604,1.665,0.222,1.0,2.033,-0.63,2,2,0,4,nerf,1,HIT,HIT,pro_marginal,DUAL_HIT,DUAL_HIT,vct
Clove,8.11,E9A3,nerf,42,1,rank_stat,1,0.14285714285714285,2.0,2.0,0.0,0.0,0.0,1,0,12.141,51.86,10.994,52.407,0.9885,2.407,3.0,,,,9,,,,controller,smoker,1.0,0.372,4.092,6.0285,1.0,5.37,4.9715,0,0,0,99,none,0,MISS,MISS,pro_unknown,DUAL_MISS,DUAL_MISS,rank
Cypher,11.08,E12A1,nerf,3,2,rank_stat,0,0.24000000000000005,3.0,1.667,1.0,0.0,1.0,0,0,3.754,49.64,5.848,49.853,-1.5215,-0.147,3.0,12.7,13.5,1.6,0,2.0,-10.546,3.809,sentinel,trapper,2.0,0.196,3.075,-0.3645,1.0,1.349,-2.4185,4,3,1,8,nerf,0,HIT,MISS,pro_viable,PRO_FAIL,PRO_FAIL,rank
Cypher,2.07,E2A3,nerf,1,1,rank_stat,1,,2.0,2.0,0.0,0.0,0.0,0,0,5.073,47.67,5.075,47.905,-0.005,-2.095,2.0,,,,0,,,,sentinel,trapper,3.0,0.2,10.168,1.888,2.0,7.229,-0.533,0,0,0,99,none,0,HIT,NO_DATA,pro_unknown,UNKNOWN,UNKNOWN,rank
